#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:00:70	HCL Limited
00:00:71	Adra Systems
00:00:72	Miniware Technology
00:00:73	Siecor
00:00:74	Ricoh Company
00:00:75	Nortel Networks
00:00:76	Abekas Video System
00:00:77	Interphase
00:00:78	Labtam Limited
00:00:79	Networth Incorporated
00:00:7A	Dana Computer
00:00:7B	Research Machines
00:00:7C	Ampere Incorporated
00:00:7D	SUN Microsystems
00:00:7E	Clustrix
00:00:7F	Linotype-hell AG
00:00:80	Cray Communications A/S
00:00:81	BAY Networks
00:00:82	Lectra Systemes SA
00:00:83	Tadpole Technology PLC
00:00:84	Supernet
00:00:85	Canon
00:00:86	Megahertz
00:00:87	Hitachi
00:00:88	Computer Network TECH.
00:00:89	Cayman Systems
00:00:8A	Datahouse Information Systems
00:00:8B	Infotron
00:00:8C	Alloy Computer Products (Australia)
00:00:8D	Verdix
00:00:8E	Solbourne Computer
00:00:8F	Raytheon Company
00:00:90	Microcom
00:00:91	Anritsu
00:00:92	Cogent Data Technologies
00:00:93	Proteon
00:00:94	Asante Technologies
00:00:95	Sony Tektronix
00:00:96	Marconi Electronics
00:00:97	Epoch Systems
00:00:98	Crosscomm
00:00:99	MTX
00:00:9A	RC Computer A/S
00:00:9B	Information International
00:00:9C	Rolm Mil-spec Computers
00:00:9D	Locus Computing
00:00:9E	Marli S.A.
00:00:9F	Ameristar Technologies
00:00:A0	Sanyo Electric Co.
00:00:A1	Marquette Electric CO.
00:00:A2	BAY Networks
00:00:A3	Network Application Technology
00:00:A4	Acorn Computers Limited
00:00:A5	Compatible Systems
00:00:A6	Network General
00:00:A7	Network Computing Devices
00:00:A8	Stratus Computer
00:00:A9	Network Systems
00:00:AA	Xerox
00:00:AB	Logic Modeling
00:00:AC	Conware Computer Consulting
00:00:AD	Bruker Instruments
00:00:AE	Dassault Electronique
00:00:AF	Nuclear Data Instrumentation
00:00:B0	Rnd-rad Network Devices
00:00:B1	Alpha Microsystems
00:00:B2	Televideo Systems
00:00:B3	Cimlinc Incorporated
00:00:B4	Edimax Computer Company
00:00:B5	Datability Software SYS.
00:00:B6	Micro-matic Research
00:00:B7	Dove Computer
00:00:B8	Seikosha CO.
00:00:B9	Mcdonnell Douglas Computer SYS
00:00:BA	SIIG
00:00:BB	Tri-data
00:00:BC	Allen-bradley CO.
00:00:BD	Mitsubishi Cable Company
00:00:BE	THE NTI Group
00:00:BF	Symmetric Computer Systems
00:00:C0	Western Digital
00:00:C1	Madge
00:00:C2	Information Presentation TECH.
00:00:C3	Harris Computer SYS DIV
00:00:C4	Waters DIV. OF Millipore
00:00:C5	Farallon Computing/netopia
00:00:C6	EON Systems
00:00:C7	Arix
00:00:C8	Altos Computer Systems
00:00:C9	Emulex
00:00:CA	Arris International
00:00:CB	Compu-shack Electronic Gmbh
00:00:CC	Densan CO.
00:00:CD	Allied Telesyn Research
00:00:CE	Megadata
00:00:CF	Hayes Microcomputer Products
00:00:D0	Develcon Electronics
00:00:D1	Adaptec Incorporated
00:00:D2	SBE
00:00:D3	Wang Laboratories
00:00:D4	Pure Data
00:00:D5	Micrognosis International
00:00:D6	Punch Line Holding
00:00:D7	Dartmouth College
00:00:D8	Novell
00:00:D9	Nippon Telegraph & Telephone
00:00:DA	Atex
00:00:DB	British Telecommunications PLC
00:00:DC	Hayes Microcomputer Products
00:00:DD	TCL Incorporated
00:00:DE	Cetia
00:00:DF	Bell & Howell PUB SYS DIV
00:00:E0	Quadram
00:00:E1	Grid Systems
00:00:E2	Acer Technologies
00:00:E3	Integrated Micro Products
00:00:E4	IN2 Groupe Intertechnique
00:00:E5	Sigmex
00:00:E6	Aptor Produits DE Comm Indust
00:00:E7	Star Gate Technologies
00:00:E8	Accton Technology
00:00:E9	Isicad
00:00:EA	Upnod AB
00:00:EB	Matsushita COMM. IND. CO.
00:00:EC	Microprocess
00:00:ED	April
00:00:EE	Network Designers
00:00:EF	KTI
00:00:F0	Samsung Electronics CO.
00:00:F1	Magna Computer
00:00:F2	Spider Communications
00:00:F3	Gandalf Data Limited
00:00:F4	Allied Telesyn International
00:00:F5	Diamond Sales Limited
00:00:F6	Applied Microsystems
00:00:F7	Youth Keep Enterprise CO
00:00:F8	Digital Equipment
00:00:F9	Quotron Systems
00:00:FA	Microsage Computer Systems
00:00:FB	Rechner ZUR Kommunikation
00:00:FC	Meiko
00:00:FD	High Level Hardware
00:00:FE	Annapolis Micro Systems
00:00:FF	Camtec Electronics
00:01:00	Equip'trans
00:01:01	Private
00:01:02	3com
00:01:03	3com
00:01:04	Dvico Co.
00:01:05	Beckhoff Gmbh
00:01:06	Tews Datentechnik GmbH
00:01:07	Leiser GmbH
00:01:08	Avlab Technology
00:01:09	Nagano Japan Radio Co.
00:01:0A	CIS Technology
00:01:0B	Space CyberLink
00:01:0C	System Talks
00:01:0D	Coreco
00:01:0E	Bri-Link Technologies Co.
00:01:0F	McDATA
00:01:10	Gotham Networks
00:01:11	iDigm
00:01:12	Shark Multimedia
00:01:13	Olympus
00:01:14	Kanda Tsushin Kogyo CO.
00:01:15	Extratech
00:01:16	Netspect Technologies
00:01:17	Canal
00:01:18	EZ Digital Co.
00:01:19	RTUnet (Australia)
00:01:1A	EEH DataLink GmbH
00:01:1B	Unizone Technologies
00:01:1C	Universal Talkware
00:01:1D	Centillium Communications
00:01:1E	Precidia Technologies
00:01:1F	RC Networks
00:01:20	Oscilloquartz S.A.
00:01:21	Watchguard Technologies
00:01:22	Trend Communications
00:01:23	Digital Electronics
00:01:24	Acer Incorporated
00:01:25	Yaesu Musen CO.
00:01:26	PAC Labs
00:01:27	Open Networks
00:01:28	EnjoyWeb
00:01:29	DFI
00:01:2A	Telematica Sistems Inteligente
00:01:2B	Telenet Co.
00:01:2C	Aravox Technologies
00:01:2D	Komodo Technology
00:01:2E	PC Partner
00:01:2F	Twinhead International
00:01:30	Extreme Networks
00:01:31	Detection Systems
00:01:32	Dranetz - BMI
00:01:33	Kyowa Electronic Instruments
00:01:34	SIG Positec Systems AG
00:01:35	KDC
00:01:36	CyberTAN Technology
00:01:37	IT Farm
00:01:38	XAVi Technologies
00:01:39	Point Multimedia Systems
00:01:3A	Shelcad Communications
00:01:3B	BNA Systems
00:01:3C	TIW Systems
00:01:3D	RiscStation
00:01:3E	Ascom Tateco AB
00:01:3F	Neighbor World Co.
00:01:40	Sendtek
00:01:41	Cable Print
00:01:42	Cisco Systems
00:01:43	Cisco Systems
00:01:44	EMC
00:01:45	Winsystems
00:01:46	Tesco Controls
00:01:47	Zhone Technologies
00:01:48	X-traWeb
00:01:49	T.D.T. Transfer Data Test GmbH
00:01:4A	Sony
00:01:4B	Ennovate Networks
00:01:4C	Berkeley Process Control
00:01:4D	Shin Kin Enterprises Co.
00:01:4E	WIN Enterprises
00:01:4F	Adtran
00:01:50	Gilat Communications
00:01:51	Ensemble Communications
00:01:52	Chromatek
00:01:53	Archtek Telecom
00:01:54	G3M
00:01:55	Promise Technology
00:01:56	Firewiredirect.com
00:01:57	Syswave CO.
00:01:58	Electro Industries/Gauge Tech
00:01:59	S1
00:01:5A	Digital Video Broadcasting
00:01:5B	Italtel S.p.a/rf-up-i
00:01:5C	Cadant
00:01:5D	Sun Microsystems
00:01:5E	Best Technology CO.
00:01:5F	Digital Design Gmbh
00:01:60	Elmex Co.
00:01:61	Meta Machine Technology
00:01:62	Cygnet Technologies
00:01:63	Cisco Systems
00:01:64	Cisco Systems
00:01:65	AirSwitch
00:01:66	TC Group A/S
00:01:67	Hioki E.E.
00:01:68	Vitana
00:01:69	Celestix Networks Pte
00:01:6A	Alitec
00:01:6B	LightChip
00:01:6C	Foxconn
00:01:6D	CarrierComm
00:01:6E	Conklin
00:01:6F	Haitai Electronics CO.
00:01:70	ESE Embedded System Engineer'g
00:01:71	Allied Data Technologies
00:01:72	TechnoLand Co.
00:01:73	Amcc
00:01:74	CyberOptics
00:01:75	Radiant Communications
00:01:76	Orient Silver Enterprises
00:01:77	Edsl
00:01:78	Margi Systems
00:01:79	Wireless Technology
00:01:7A	Chengdu Maipu Electric Industrial Co.
00:01:7B	Heidelberger Druckmaschinen AG
00:01:7C	AG-E GmbH
00:01:7D	ThermoQuest
00:01:7E	Adtek System Science Co.
00:01:7F	Experience Music Project
00:01:80	AOpen
00:01:81	Nortel Networks
00:01:82	Dica Technologies AG
00:01:83	Anite Telecoms
00:01:84	Sieb & Meyer AG
00:01:85	Aloka Co.
00:01:86	Uwe Disch
00:01:87	i2SE GmbH
00:01:88	Lxco Technologies ag
00:01:89	Refraction Technology
00:01:8A	ROI Computer AG
00:01:8B	NetLinks Co.
00:01:8C	Mega Vision
00:01:8D	AudeSi Technologies
00:01:8E	Logitec
00:01:8F	Kenetec
00:01:90	Smk-m
00:01:91	Syred Data Systems
00:01:92	Texas Digital Systems
00:01:93	Hanbyul Telecom Co.
00:01:94	Capital Equipment
00:01:95	Sena Technologies
00:01:96	Cisco Systems
00:01:97	Cisco Systems
00:01:98	Darim Vision
00:01:99	HeiSei Electronics
00:01:9A	Leunig Gmbh
00:01:9B	Kyoto Microcomputer Co.
00:01:9C	JDS Uniphase
00:01:9D	E-Control Systems
00:01:9E	ESS Technology
00:01:9F	Phonex Broadband
00:01:A0	Infinilink
00:01:A1	Mag-Tek
00:01:A2	Logical Co.
00:01:A3	Genesys Logic
00:01:A4	Microlink
00:01:A5	Nextcomm
00:01:A6	Scientific-Atlanta Arcodan A/S
00:01:A7	Unex Technology
00:01:A8	Welltech Computer Co.
00:01:A9	BMW AG
00:01:AA	Airspan Communications
00:01:AB	Main Street Networks
00:01:AC	Sitara Networks
00:01:AD	Coach Master International  d.b.a. CMI Worldwide
00:01:AE	Trex Enterprises
00:01:AF	Motorola Computer Group
00:01:B0	Fulltek Technology Co.
00:01:B1	General Bandwidth
00:01:B2	Digital Processing Systems
00:01:B3	Precision Electronic Manufacturing
00:01:B4	Wayport
00:01:B5	Turin Networks
00:01:B6	Saejin T&M Co.
00:01:B7	Centos
00:01:B8	Netsensity
00:01:B9	SKF Condition Monitoring
00:01:BA	IC-Net
00:01:BB	Frequentis
00:01:BC	Brains
00:01:BD	Peterson Electro-Musical Products
00:01:BE	Gigalink Co.
00:01:BF	Teleforce Co.
00:01:C0	CompuLab
00:01:C1	Vitesse Semiconductor
00:01:C2	ARK Research
00:01:C3	Acromag
00:01:C4	NeoWave
00:01:C5	Simpler Networks
00:01:C6	Quarry Technologies
00:01:C7	Cisco Systems
00:01:C8	Thomas Conrad
00:01:C8	Conrad
00:01:C9	Cisco Systems
00:01:CA	Geocast Network Systems
00:01:CB	EVR
00:01:CC	Japan Total Design Communication Co.
00:01:CD	ARtem
00:01:CE	Custom Micro Products
00:01:CF	Alpha Data Parallel Systems
00:01:D0	VitalPoint
00:01:D1	CoNet Communications
00:01:D2	MacPower Peripherals
00:01:D3	Paxcomm
00:01:D4	Leisure Time
00:01:D5	Haedong Info & Comm CO.
00:01:D6	MAN Roland Druckmaschinen AG
00:01:D7	F5 Networks
00:01:D8	Teltronics
00:01:D9	Sigma
00:01:DA	Wincomm
00:01:DB	Freecom Technologies GmbH
00:01:DC	Activetelco
00:01:DD	Avail Networks
00:01:DE	Trango Systems
00:01:DF	Isdn Communications
00:01:E0	Fast Systems
00:01:E1	Kinpo Electronics
00:01:E2	Ando Electric
00:01:E3	Siemens AG
00:01:E4	Sitera
00:01:E5	Supernet
00:01:E6	Hewlett-Packard Company
00:01:E7	Hewlett-Packard Company
00:01:E8	Force10 Networks
00:01:E9	Litton Marine Systems B.V.
00:01:EA	Cirilium
00:01:EB	C-COM
00:01:EC	Ericsson Group
00:01:ED	Seta
00:01:EE	Comtrol Europe
00:01:EF	Camtel Technology
00:01:F0	Tridium
00:01:F1	Innovative Concepts
00:01:F2	Mark of the Unicorn
00:01:F3	QPS
00:01:F4	Enterasys Networks
00:01:F5	Erim S.A.
00:01:F6	Association of Musical Electronics Industry
00:01:F7	Image Display Systems
00:01:F8	Adherent Systems
00:01:F9	TeraGlobal Communications
00:01:FA	Horoscas
00:01:FB	DoTop Technology
00:01:FC	Keyence
00:01:FD	Digital Voice Systems
00:01:FE	Digital Equipment
00:01:FF	Data Direct Networks
00:02:00	Net & Sys Co.
00:02:01	IFM Electronic gmbh
00:02:02	Amino Communications
00:02:03	Woonsang Telecom
00:02:04	Bodmann Industries Elektronik GmbH
00:02:05	Hitachi Denshi
00:02:06	Telital R&D Denmark A/S
00:02:07	VisionGlobal Network
00:02:08	Unify Networks
00:02:09	Shenzhen SED Information Technology Co.
00:02:0A	Gefran Spa
00:02:0B	Native Networks
00:02:0C	Metro-Optix
00:02:0D	Micronpc.com
00:02:0E	Laurel Networks
00:02:0F	Aatr
00:02:10	Fenecom
00:02:11	Nature Worldwide Technology
00:02:12	SierraCom
00:02:13	S.d.e.l.
00:02:14	Dtvro
00:02:15	Cotas Computer Technology A/B
00:02:16	Cisco Systems
00:02:17	Cisco Systems
00:02:18	Advanced Scientific
00:02:19	Paralon Technologies
00:02:1A	Zuma Networks
00:02:1B	Kollmorgen-Servotronix
00:02:1C	Network Elements
00:02:1D	Data General Communication
00:02:1E	Simtel S.r.l.
00:02:1F	Aculab PLC
00:02:20	Canon Aptex
00:02:21	DSP Application
00:02:22	Chromisys
00:02:23	ClickTV
00:02:24	C-cor
00:02:25	Certus Technology
00:02:26	XESystems
00:02:27	ESD GmbH
00:02:28	Necsom
00:02:29	Adtec
00:02:2A	Asound Electronic
00:02:2B	SAXA
00:02:2C	ABB Bomem
00:02:2D	Agere Systems
00:02:2E	Teac R&
00:02:2F	P-Cube
00:02:30	Intersoft Electronics
00:02:31	Ingersoll-Rand
00:02:32	Avision
00:02:33	Mantra Communications
00:02:34	Imperial Technology
00:02:35	Paragon Networks International
00:02:36	Init Gmbh
00:02:37	Cosmo Research
00:02:38	Serome Technology
00:02:39	Visicom
00:02:3A	ZSK Stickmaschinen GmbH
00:02:3B	Redback Networks
00:02:3C	Creative Technology
00:02:3D	NuSpeed
00:02:3E	Selta Telematica S.p.a
00:02:3F	Compal Electronics
00:02:40	Seedek Co.
00:02:41	Amer.com
00:02:42	Videoframe Systems
00:02:43	Raysis Co.
00:02:44	Surecom Technology Co.
00:02:45	Lampus Co
00:02:46	All-Win Tech Co.
00:02:47	Great Dragon Information Technology (Group) Co.
00:02:48	Pilz GmbH & Co.
00:02:49	Aviv Infocom Co
00:02:4A	Cisco Systems
00:02:4B	Cisco Systems
00:02:4C	SiByte
00:02:4D	Mannesman Dematic Colby
00:02:4E	Datacard Group
00:02:4F	IPM Datacom S.R.L.
00:02:50	Geyser Networks
00:02:51	Soma Networks
00:02:52	Carrier
00:02:53	Televideo
00:02:54	WorldGate
00:02:55	IBM
00:02:56	Alpha Processor
00:02:57	Microcom
00:02:58	Flying Packets Communications
00:02:59	Tsann Kuen China (Shanghai)Enterprise Co., IT Group
00:02:5A	Catena Networks
00:02:5B	Cambridge Silicon Radio
00:02:5C	SCI Systems (Kunshan) Co.
00:02:5D	Calix Networks
00:02:5E	High Technology
00:02:5F	Nortel Networks
00:02:60	Accordion Networks
00:02:61	i3 Micro Technology AB
00:02:62	Soyo Group Soyo Com Tech Co.
00:02:63	UPS Manufacturing SRL
00:02:64	AudioRamp.com
00:02:65	Virditech Co.
00:02:66	Thermalogic
00:02:67	Node Runner
00:02:68	Harris Government Communications
00:02:69	Nadatel Co.
00:02:6A	Cocess Telecom Co.
00:02:6B	BCM Computers Co.
00:02:6C	Philips CFT
00:02:6D	Adept Telecom
00:02:6E	NeGeN Access
00:02:6F	Senao International Co.
00:02:70	Crewave Co.
00:02:71	Vpacket Communications
00:02:72	CC&C Technologies
00:02:73	Coriolis Networks
00:02:74	Tommy Technologies
00:02:75	Smart Technologies
00:02:76	Primax Electronics
00:02:77	Cash Systemes Industrie
00:02:78	Samsung Electro-Mechanics Co.
00:02:79	Control Applications
00:02:7A	IOI Technology
00:02:7B	Amplify Net
00:02:7C	Trilithic
00:02:7D	Cisco Systems
00:02:7E	Cisco Systems
00:02:7F	ask-technologies.com
00:02:80	Mu Net
00:02:81	Madge
00:02:82	ViaClix
00:02:83	Spectrum Controls
00:02:84	Areva T&D
00:02:85	Riverstone Networks
00:02:86	Occam Networks
00:02:87	Adapcom
00:02:88	Global Village Communication
00:02:89	DNE Technologies
00:02:8A	Ambit Microsystems
00:02:8B	Vdsl Systems OY
00:02:8C	Micrel-Synergy Semiconductor
00:02:8D	Movita Technologies
00:02:8E	Rapid 5 Networks
00:02:8F	Globetek
00:02:90	Woorigisool
00:02:91	Open Network Co.
00:02:92	Logic Innovations
00:02:93	Solid Data Systems
00:02:94	Tokyo Sokushin Co.
00:02:95	IP.Access Limited
00:02:96	Lectron Co
00:02:97	C-COR.net
00:02:98	Broadframe
00:02:99	Apex
00:02:9A	Storage Apps
00:02:9B	Kreatel Communications AB
00:02:9C	3com
00:02:9D	Merix
00:02:9E	Information Equipment Co.
00:02:9F	L-3 Communication Aviation Recorders
00:02:A0	Flatstack
00:02:A1	World Wide Packets
00:02:A2	Hilscher GmbH
00:02:A3	ABB Power Automation
00:02:A4	AddPac Technology Co.
00:02:A5	Compaq Computer
00:02:A6	Effinet Systems Co.
00:02:A7	Vivace Networks
00:02:A8	Air Link Technology
00:02:A9	Racom, S.r.o.
00:02:AA	PLcom Co.
00:02:AB	CTC Union Technologies Co.
00:02:AC	3PAR data
00:02:AD	Pentax Corpotation
00:02:AE	Scannex Electronics
00:02:AF	TeleCruz Technology
00:02:B0	Hokubu Communication & Industrial Co.
00:02:B1	Anritsu
00:02:B2	Cablevision
00:02:B3	Intel
00:02:B4	Daphne
00:02:B5	Avnet
00:02:B6	Acrosser Technology Co.
00:02:B7	Watanabe Electric Industry Co.
00:02:B8	WHI Konsult AB
00:02:B9	Cisco Systems
00:02:BA	Cisco Systems
00:02:BB	Continuous Computing
00:02:BC	LVL 7 Systems
00:02:BD	Bionet Co.
00:02:BE	Totsu Engineering
00:02:BF	dotRocket
00:02:C0	Bencent Tzeng Industry Co.
00:02:C1	Innovative Electronic Designs
00:02:C2	Net Vision Telecom
00:02:C3	Arelnet
00:02:C4	Vector International Buba
00:02:C5	Evertz Microsystems
00:02:C6	Data Track Technology PLC
00:02:C7	Alps Electric Co.
00:02:C8	Technocom Communications Technology (pte)
00:02:C9	Mellanox Technologies
00:02:CA	EndPoints
00:02:CB	TriState
00:02:CC	M.c.c.i
00:02:CD	TeleDream
00:02:CE	FoxJet
00:02:CF	ZyGate Communications
00:02:D0	Comdial
00:02:D1	Vivotek
00:02:D2	Workstation AG
00:02:D3	NetBotz
00:02:D4	PDA Peripherals
00:02:D5	ACR
00:02:D6	Nice Systems
00:02:D7	Empeg
00:02:D8	Brecis Communications
00:02:D9	Reliable Controls
00:02:DA	ExiO Communications
00:02:DB	Netsec
00:02:DC	Fujitsu General Limited
00:02:DD	Bromax Communications
00:02:DE	Astrodesign
00:02:DF	Net Com Systems
00:02:E0	Etas Gmbh
00:02:E1	Integrated Network
00:02:E2	NDC Infared Engineering
00:02:E3	Lite-on Communications
00:02:E4	JC Hyun Systems
00:02:E5	Timeware
00:02:E6	Gould Instrument Systems
00:02:E7	CAB GmbH & Co KG
00:02:E8	E.d.&a.
00:02:E9	CS Systemes De Securite - C3S
00:02:EA	Focus Enhancements
00:02:EB	Pico Communications
00:02:EC	Maschoff Design Engineering
00:02:ED	DXO Telecom Co.
00:02:EE	Nokia Danmark A/S
00:02:EF	CCC Network Systems Group
00:02:F0	AME Optimedia Technology Co.
00:02:F1	Pinetron Co.
00:02:F2	eDevice
00:02:F3	Media Serve Co.
00:02:F4	Pctel
00:02:F5	Vive Synergies
00:02:F6	Equipe Communications
00:02:F7	ARM
00:02:F8	Seakr Engineering
00:02:F9	Mimos Semiconductor SDN BHD
00:02:FA	DX Antenna Co.
00:02:FB	Baumuller Aulugen-Systemtechnik GmbH
00:02:FC	Cisco Systems
00:02:FD	Cisco Systems
00:02:FE	Viditec
00:02:FF	Handan BroadInfoCom
00:03:00	NetContinuum
00:03:01	Avantas Networks
00:03:02	Charles Industries
00:03:03	Jama Electronics Co.
00:03:04	Pacific Broadband Communications
00:03:05	Smart Network Devices GmbH
00:03:06	Fusion In Tech Co.
00:03:07	Secure Works
00:03:08	AM Communications
00:03:09	Texcel Technology PLC
00:03:0A	Argus Technologies
00:03:0B	Hunter Technology
00:03:0C	Telesoft Technologies
00:03:0D	Uniwill Computer
00:03:0E	Core Communications Co.
00:03:0F	Digital China (Shanghai) Networks
00:03:10	Link Evolution
00:03:11	Micro Technology Co.
00:03:12	TR-Systemtechnik GmbH
00:03:13	Access Media SPA
00:03:14	Teleware Network Systems
00:03:15	Cidco Incorporated
00:03:16	Nobell Communications
00:03:17	Merlin Systems
00:03:18	Cyras Systems
00:03:19	Infineon AG
00:03:1A	Beijing Broad Telecom
00:03:1B	Cellvision Systems
00:03:1C	Svenska Hardvarufabriken AB
00:03:1D	Taiwan Commate Computer
00:03:1E	Optranet
00:03:1F	Condev
00:03:20	Xpeed
00:03:21	Reco Research Co.
00:03:22	Idis Co.
00:03:23	Cornet Technology
00:03:24	Sanyo Multimedia Tottori Co.
00:03:25	Arima Computer
00:03:26	Iwasaki Information Systems Co.
00:03:27	Act'l
00:03:28	Mace Group
00:03:29	F3
00:03:2A	UniData Communication Systems
00:03:2B	GAI Datenfunksysteme GmbH
00:03:2C	ABB Industrie AG
00:03:2D	Ibase Technology
00:03:2E	Scope Information Management
00:03:2F	Global Sun Technology
00:03:30	Imagenics, Co.
00:03:31	Cisco Systems
00:03:32	Cisco Systems
00:03:33	Digitel Co.
00:03:34	Newport Electronics
00:03:35	Mirae Technology
00:03:36	Zetes Technologies
00:03:37	Vaone
00:03:38	Oak Technology
00:03:39	Eurologic Systems
00:03:3A	Silicon Wave
00:03:3B	Tami Tech Co.
00:03:3C	Daiden Co.
00:03:3D	Ilshin Lab
00:03:3E	Tateyama System Laboratory Co.
00:03:3F	BigBand Networks
00:03:40	Floware Wireless Systems
00:03:41	Axon Digital Design
00:03:42	Nortel Networks
00:03:43	Martin Professional A/S
00:03:44	Tietech.Co.
00:03:45	Routrek Networks
00:03:46	Hitachi Kokusai Electric
00:03:47	Intel
00:03:48	Norscan Instruments
00:03:49	Vidicode Datacommunicatie B.V.
00:03:4A	Rias
00:03:4B	Nortel Networks
00:03:4C	Shanghai DigiVision Technology Co.
00:03:4D	Chiaro Networks
00:03:4E	Pos Data Company
00:03:4F	Sur-Gard Security
00:03:50	Bticino SPA
00:03:51	Diebold
00:03:52	Colubris Networks
00:03:53	Mitac
00:03:54	Fiber Logic Communications
00:03:55	TeraBeam Internet Systems
00:03:56	Wincor Nixdorf GmbH & Co KG
00:03:57	Intervoice-Brite
00:03:58	Hanyang Digitech Co.
00:03:59	DigitalSis
00:03:5A	Photron Limited
00:03:5B	BridgeWave Communications
00:03:5C	Saint Song
00:03:5D	Bosung Hi-Net Co.
00:03:5E	Metropolitan Area Networks
00:03:5F	Prueftechnik Condition Monitoring GmbH & Co. KG
00:03:60	PAC Interactive Technology
00:03:61	Widcomm
00:03:62	Vodtel Communications
00:03:63	Miraesys Co.
00:03:64	Scenix Semiconductor
00:03:65	Kira Information & Communications
00:03:66	ASM Pacific Technology
00:03:67	Jasmine Networks
00:03:68	Embedone Co.
00:03:69	Nippon Antenna Co.
00:03:6A	Mainnet
00:03:6B	Cisco Systems
00:03:6C	Cisco Systems
00:03:6D	Runtop
00:03:6E	Nicon Systems (Pty) Limited
00:03:6F	Telsey SPA
00:03:70	NXTV
00:03:71	Acomz Networks
00:03:72	Ulan
00:03:73	Aselsan A.S
00:03:74	Hunter Watertech
00:03:75	NetMedia
00:03:76	Graphtec Technology
00:03:77	Gigabit Wireless
00:03:78	Humax Co.
00:03:79	Proscend Communications
00:03:7A	Taiyo Yuden Co.
00:03:7B	Idec Izumi
00:03:7C	Coax Media
00:03:7D	Stellcom
00:03:7E	Portech Communications
00:03:7F	Atheros Communications
